region_code,province_code,municipality_code,district_municipal_code,section_code,barrio_paraje_code,sub_barrio_code,level,name,official_name,normalized_name,parent_composite_code,composite_code,full_path,is_official,source,valid_from,valid_to,notes
10,01,01,01,01,005,04,sub_barrio,Pradera Hermosa,Pradera Hermosa,pradera hermosa,10-01-01-01-01-005-00,10-01-01-01-01-005-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Pradera Hermosa,True,ONE,,,
10,01,01,01,01,005,05,sub_barrio,Residencial Yuca de Los Ríos,Residencial Yuca de Los Ríos,residencial yuca de los rios,10-01-01-01-01-005-00,10-01-01-01-01-005-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Residencial Yuca de Los Ríos,True,ONE,,,
10,01,01,01,01,005,06,sub_barrio,El Caliche,El Caliche,el caliche,10-01-01-01-01-005-00,10-01-01-01-01-005-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > El Caliche,True,ONE,,,
10,01,01,01,01,005,07,sub_barrio,Los Pinos,Los Pinos,los pinos,10-01-01-01-01-005-00,10-01-01-01-01-005-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Los Pinos,True,ONE,,,
10,01,01,01,01,005,08,sub_barrio,Villa Marina,Villa Marina,villa marina,10-01-01-01-01-005-00,10-01-01-01-01-005-08,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Villa Marina,True,ONE,,,
10,01,01,01,01,005,09,sub_barrio,Esperanza,Esperanza,esperanza,10-01-01-01-01-005-00,10-01-01-01-01-005-09,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Ríos > Esperanza,True,ONE,,,
10,01,01,01,01,006,00,barrio_paraje,Puerto Isabela,Puerto Isabela,puerto isabela,10-01-01-01-01-000-00,10-01-01-01-01-006-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Puerto Isabela,True,ONE,,,
10,01,01,01,01,006,01,sub_barrio,Puerto Isabela,Puerto Isabela,puerto isabela,10-01-01-01-01-006-00,10-01-01-01-01-006-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Puerto Isabela > Puerto Isabela,True,ONE,,,
10,01,01,01,01,006,02,sub_barrio,La Goya,La Goya,la goya,10-01-01-01-01-006-00,10-01-01-01-01-006-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Puerto Isabela > La Goya,True,ONE,,,
10,01,01,01,01,007,00,barrio_paraje,Honduras del oeste,Honduras del oeste,honduras del oeste,10-01-01-01-01-000-00,10-01-01-01-01-007-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste,True,ONE,,,
10,01,01,01,01,007,01,sub_barrio,Honduras del Oeste,Honduras del Oeste,honduras del oeste,10-01-01-01-01-007-00,10-01-01-01-01-007-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > Honduras del Oeste,True,ONE,,,
10,01,01,01,01,007,02,sub_barrio,Aesa,Aesa,aesa,10-01-01-01-01-007-00,10-01-01-01-01-007-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > Aesa,True,ONE,,,
10,01,01,01,01,007,03,sub_barrio,Luz Consuelo Sur,Luz Consuelo Sur,luz consuelo sur,10-01-01-01-01-007-00,10-01-01-01-01-007-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > Luz Consuelo Sur,True,ONE,,,
10,01,01,01,01,007,04,sub_barrio,Atlántida,Atlántida,atlantida,10-01-01-01-01-007-00,10-01-01-01-01-007-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > Atlántida,True,ONE,,,
10,01,01,01,01,007,05,sub_barrio,16 de Agosto,16 de Agosto,16 de agosto,10-01-01-01-01-007-00,10-01-01-01-01-007-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > 16 de Agosto,True,ONE,,,
10,01,01,01,01,007,06,sub_barrio,Los Olmos,Los Olmos,los olmos,10-01-01-01-01-007-00,10-01-01-01-01-007-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > Los Olmos,True,ONE,,,
10,01,01,01,01,007,07,sub_barrio,INVI Sur,INVI Sur,invi sur,10-01-01-01-01-007-00,10-01-01-01-01-007-07,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del oeste > INVI Sur,True,ONE,,,
10,01,01,01,01,008,00,barrio_paraje,Honduras del Norte,Honduras del Norte,honduras del norte,10-01-01-01-01-000-00,10-01-01-01-01-008-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte,True,ONE,,,
10,01,01,01,01,008,01,sub_barrio,Honduras del Norte,Honduras del Norte,honduras del norte,10-01-01-01-01-008-00,10-01-01-01-01-008-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Honduras del Norte,True,ONE,,,
10,01,01,01,01,008,02,sub_barrio,Sandra I,Sandra I,sandra i,10-01-01-01-01-008-00,10-01-01-01-01-008-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Sandra I,True,ONE,,,
10,01,01,01,01,008,03,sub_barrio,Sandra II,Sandra II,sandra ii,10-01-01-01-01-008-00,10-01-01-01-01-008-03,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Sandra II,True,ONE,,,
10,01,01,01,01,008,04,sub_barrio,Luz Consuelo Norte,Luz Consuelo Norte,luz consuelo norte,10-01-01-01-01-008-00,10-01-01-01-01-008-04,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Luz Consuelo Norte,True,ONE,,,
10,01,01,01,01,008,05,sub_barrio,Proyecto José Contreras,Proyecto José Contreras,proyecto jose contreras,10-01-01-01-01-008-00,10-01-01-01-01-008-05,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Proyecto José Contreras,True,ONE,,,
10,01,01,01,01,008,06,sub_barrio,Gacela,Gacela,gacela,10-01-01-01-01-008-00,10-01-01-01-01-008-06,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Honduras del Norte > Gacela,True,ONE,,,
10,01,01,01,01,009,00,barrio_paraje,Paseo de Los Indios ó Parque Mirador Sur,Paseo de Los Indios ó Parque Mirador Sur,paseo de los indios o parque mirador sur,10-01-01-01-01-000-00,10-01-01-01-01-009-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Paseo de Los Indios ó Parque Mirador Sur,True,ONE,,,
10,01,01,01,01,009,01,sub_barrio,Paseo de Los Indios ó Parque Mirador Sur,Paseo de Los Indios ó Parque Mirador Sur,paseo de los indios o parque mirador sur,10-01-01-01-01-009-00,10-01-01-01-01-009-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Paseo de Los Indios ó Parque Mirador Sur > Paseo de Los Indios ó Parque Mirador Sur,True,ONE,,,
10,01,01,01,01,009,02,sub_barrio,Manresa ó Altagracia,Manresa ó Altagracia,manresa o altagracia,10-01-01-01-01-009-00,10-01-01-01-01-009-02,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Paseo de Los Indios ó Parque Mirador Sur > Manresa ó Altagracia,True,ONE,,,
10,01,01,01,01,010,00,barrio_paraje,Los Cacicazgos,Los Cacicazgos,los cacicazgos,10-01-01-01-01-000-00,10-01-01-01-01-010-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Cacicazgos,True,ONE,,,
10,01,01,01,01,010,01,sub_barrio,Los Cacicazgos,Los Cacicazgos,los cacicazgos,10-01-01-01-01-010-00,10-01-01-01-01-010-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Los Cacicazgos > Los Cacicazgos,True,ONE,,,
10,01,01,01,01,011,00,barrio_paraje,Renacimiento,Renacimiento,renacimiento,10-01-01-01-01-000-00,10-01-01-01-01-011-00,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Renacimiento,True,ONE,,,
10,01,01,01,01,011,01,sub_barrio,Renacimiento,Renacimiento,renacimiento,10-01-01-01-01-011-00,10-01-01-01-01-011-01,Distrito Nacional > Santo Domingo de Guzmán > Santo Domingo de Guzmán > Santo Domingo de Guzmán (Zona urbana) > Renacimiento > Renacimiento,True,ONE,,,
